Customer,Branch,Last_Order_Date,Frequency,Monetary,Recency,R_Score_Current,F_Score_Current,M_Score_Current,RFM_Score_Current,Segment_Name_Current
Salon Miror-Miror,Jakarta,11/14/2025,2,534600,10,4,2,1,421,Potential Loyalists Customers
Salon Tya Beauty,Banjarmasin,11/24/2025,1,248400.01,0,5,1,1,511,Potential Loyalists Customers
Salon Woman Spa- Medan,Balikpapan,10/31/2025,3,25201.47,24,4,3,1,431,Lost Customers
Salsa Salon- Surabaya,Jawa Timur,11/21/2025,1,580000,3,5,1,2,512,Potential Loyalists Customers
San S Salon- Jakarta,Balikpapan,11/21/2025,18,53046000,3,5,5,5,555,Top Customers
Santi Salon Ii - Jakarta,Jakarta,10/20/2025,2,572400,35,2,2,2,222,At Risk Customers
Sari Salon- Medan,Medan,10/31/2025,2,487800,24,4,2,1,421,Potential Loyalists Customers
Sasa Salon- Jakarta,Balikpapan,11/4/2025,5,4522000,20,4,4,4,444,Top Customers
Savia Salon/Ba Wiwi- Jakarta,Jakarta,10/27/2025,7,6749999.95,28,3,5,4,354,Needs Attention Customers
"Seven Art, Salon- Jakarta",Balikpapan,9/2/2025,1,146700.01,83,1,1,1,111,Lost Customers
